CustomerID,Age,Income,EmploymentType,ResidenceType,CreditScore,LoanAmount,LoanTerm,PreviousDefault,RiskCategory
1,56,12930,Salaried,Parental Home,721,38897,353,Yes,Very High
2,69,6285,Unemployed,Parental Home,563,313894,16,No,Low
3,46,38863,Salaried,Parental Home,532,232684,237,Yes,High
4,32,19704,Unemployed,Parental Home,532,310159,38,Yes,High
5,60,21705,Unemployed,Parental Home,816,23181,135,Yes,High
6,25,3555,Salaried,Parental Home,344,385246,310,Yes,Low
7,38,24323,Salaried,Parental Home,735,23868,46,Yes,Very High
8,56,8432,Unemployed,Rented,634,93143,248,No,Low
9,36,4386,Self-employed,Owned,703,29107,322,Yes,Medium
10,40,47007,Self-employed,Owned,463,22072,328,No,Medium
11,28,13619,Self-employed,Owned,555,229647,314,Yes,High
12,28,9854,Self-employed,Parental Home,365,259527,113,Yes,Medium
13,41,45964,Unemployed,Owned,387,313099,88,No,Low
14,53,10637,Self-employed,Parental Home,539,158887,323,No,Medium
15,57,24225,Self-employed,Rented,610,185020,93,No,Medium
16,41,48730,Self-employed,Owned,557,133112,157,Yes,Very High
17,20,29739,Unemployed,Rented,813,360266,204,No,Low
18,39,13618,Salaried,Rented,733,33478,235,No,Medium
19,19,39561,Self-employed,Parental Home,428,355065,64,No,Low
20,41,10373,Unemployed,Owned,625,198231,356,No,Medium
21,61,38281,Unemployed,Rented,316,126787,96,No,Very High
22,47,23187,Self-employed,Owned,641,164969,140,Yes,Medium
23,55,5327,Salaried,Rented,548,297172,222,No,High
24,19,35391,Salaried,Rented,476,297256,275,Yes,Very High
25,38,44577,Salaried,Parental Home,656,322717,194,Yes,Medium
26,50,21549,Unemployed,Owned,794,443046,283,No,High
27,29,42220,Self-employed,Parental Home,334,122527,238,No,Medium
28,39,10642,Self-employed,Parental Home,706,319370,333,Yes,High
29,61,17435,Unemployed,Parental Home,309,230824,23,Yes,Very High
30,42,36760,Self-employed,Parental Home,830,204133,104,No,Medium
31,66,41192,Self-employed,Parental Home,834,491809,341,Yes,Low
32,44,7381,Salaried,Rented,394,449385,201,Yes,Medium
33,59,34047,Self-employed,Owned,749,303290,97,Yes,Low
34,45,22558,Self-employed,Owned,519,491613,288,Yes,Very High
35,33,33782,Unemployed,Parental Home,395,393125,304,Yes,Low
36,32,7782,Unemployed,Owned,680,263466,272,No,High
37,64,28881,Salaried,Rented,506,49568,209,Yes,Low
38,68,43228,Unemployed,Parental Home,545,472995,334,Yes,Very High
39,61,32409,Salaried,Rented,809,361960,21,No,Very High
40,69,22462,Salaried,Rented,382,226270,99,No,Low
41,20,5983,Self-employed,Parental Home,616,253857,351,Yes,High
42,54,34933,Salaried,Rented,404,199679,329,Yes,Very High
43,68,49950,Self-employed,Parental Home,669,230992,48,Yes,Medium
